"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13637238","JH476216","2024-10-21T00:00:00.000","041XX W 13TH ST","0460","BATTERY","SIMPLE","STREET","false","false","1011","010","24","29","08B","1149173","1893724","2024","2024-10-28T15:40:58.000","41.864304053","-87.727866959","
,  
(41.864304053, -87.727866959)"
"13638065","JH477346","2024-10-21T00:00:00.000","017XX N BURLING ST","0810","THEFT","OVER $500","STREET","false","false","1813","018","2","7","06","1171022","1911687","2024","2024-10-28T15:40:58.000","41.913144836","-87.647132669","
,  
(41.913144836, -87.647132669)"
"13638191","JH477403","2024-10-21T00:00:00.000","067XX N GLENWOOD AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","false","2432","024","49","1","08A","1165710","1944823","2024","2024-10-28T15:40:58.000","42.004186365","-87.665699231","
,  
(42.004186365, -87.665699231)"
"13637460","JH476472","2024-10-21T00:00:00.000","044XX S PRAIRIE AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","0215","002","3","38","07","1178782","1875684","2024","2024-10-28T15:40:58.000","41.814176534","-87.619723936","
,  
(41.814176534, -87.619723936)"
"13637484","JH476556","2024-10-21T00:00:00.000","079XX S TRIPP AVE","0930","MOTOR VEHICLE THEFT","THEFT / RECOVERY - AUTOMOBILE","STREET","false","false","0834","008","18","70","07","1149513","1851431","2024","2024-10-28T15:40:58.000","41.748239243","-87.727712829","
,  
(41.748239243, -87.727712829)"
"13637620","JH476771","2024-10-21T00:00:00.000","002XX S STATE ST","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","BANK","false","false","0113","001","34","32","11","1176411","1899396","2024","2024-10-28T15:40:58.000","41.879297705","-87.627706271","
,  
(41.879297705, -87.627706271)"
"13638173","JH477463","2024-10-21T00:00:00.000","015XX N KINGSBURY ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1822","018","27","8","14","1169505","1910252","2024","2024-10-28T15:40:58.000","41.909240284","-87.65274758","
,  
(41.909240284, -87.65274758)"
"13637953","JH477184","2024-10-21T00:00:00.000","085XX S MACKINAW AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","true","0424","004","10","46","08A","1199951","1849041","2024","2024-10-28T15:40:58.000","41.740558091","-87.542973836","
,  
(41.740558091, -87.542973836)"
"13643744","JH483950","2024-10-21T00:00:00.000","049XX N MARINE DR","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","OTHER (SPECIFY)","false","false","2024","020","48","3","11",,,"2024","2024-10-28T15:40:58.000",,,
"13639430","JH477959","2024-10-21T00:00:00.000","014XX W IRVING PARK RD","0810","THEFT","OVER $500","STREET","false","false","1922","019","46","6","06","1166109","1926664","2024","2024-10-28T15:40:58.000","41.954348961","-87.664752757","
,  
(41.954348961, -87.664752757)"
